objectid;cod_ibge;cod_ses;cod_regiao_uf;macrorregiao_saude;regiao_saude;nome_regiao_saude;crs;municipio;cod_cnes;nome_da_unidade;telefone;nome_razao_social;cod_tipo_un;ds_tipo_un;ds_natureza;tp_gestao;latitude;longitude;equipamento;complemento;cep;endereco;adulto_leito_uti;status
284;4314902;431490;466;Metropolitana;10;REGIÃO 10 - CAPITAL E VALE DO GRAVATAÍ;01ª CRS;Porto Alegre;3006522;HOSPITAL MOINHOS DE VENTO;;ASSOCIACAO HOSPITALAR MOINHOS DE VENTO;5;HOSPITAL GERAL;ENTIDADES SEM FINS LUCRATIVOS;MUNICIPAL;-30.02631;-51.209105;Hospital; ;90035-001;RUA RAMIRO BARCELOS, 910 - MOINHOS DE VENTO;56.0;ATIVO
308;4320800;432080;475;Norte;19;REGIÃO 19 - BOTUCARAÍ;06ª CRS;Soledade;2246961;HOSPITAL FREI CLEMENTE - SOLEDADE;;HOSPITAL DE CARIDADE FREI CLEMENTE;5;HOSPITAL GERAL;ENTIDADES SEM FINS LUCRATIVOS;ESTADUAL;-28.809979;-52.510941;Hospital; ;99300-000;AV PINHEIRO MACHADO, 828 - CENTRO;;ATIVO
293;4312658;431265;473;Norte;17;REGIÃO 17 - PLANALTO;06ª CRS;Não-Me-Toque;2246910;HOSPITAL ALTO JACUI - NAO ME TOQUE;;HOSPITAL BENEFICENCIA ALTO JACUI;5;HOSPITAL GERAL;ENTIDADES SEM FINS LUCRATIVOS;ESTADUAL;-28.460816;-52.821731;Hospital; ;99470-000;AV DR WALDOMIRO GRAEFF, 810 - CENTRO;;ATIVO
305;4318804;431880;477;Sul;21;REGIÃO 21 - SUL;03ª CRS;São Lourenço do Sul;2233312;SANTA CASA DE MISERIC S LOURENCO DO SUL;;SANTA CASA DE MISERICORDIA DE SAO LOURENCO DO SUL;5;HOSPITAL GERAL;ENTIDADES SEM FINS LUCRATIVOS;ESTADUAL;-31.364671;-51.97842;Hospital;CASA;96170-000;RUA ALMIRANTE ABREU, 437 - CENTRO;;ATIVO
309;4314027;431402;457;Centro-Oeste;1;REGIÃO 01 - VERDES CAMPOS;04ª CRS;Paraíso do Sul;2234467;UNIDADE MISTA HOSPITAL PARAISO;;HOSPITAL PARAISO SOCIEDADE ASSISTENCIAL E BENEFICENTE;15;UNIDADE MISTA;ENTIDADES SEM FINS LUCRATIVOS;ESTADUAL;-29.67041;-53.144041;Hospital; ;96530-000;RUA THEODOR WURTH, 208 - VILA PARAISO;;ATIVO
318;4314902;431490;466;Metropolitana;10;REGIÃO 10 - CAPITAL E VALE DO GRAVATAÍ;01ª CRS;Porto Alegre;6295320;AESC HOSPITAL SANTA ANA;;ASSOCIACAO EDUCADORA SAO CARLOS AESC;5;HOSPITAL GERAL;ENTIDADES SEM FINS LUCRATIVOS;MUNICIPAL;-30.086151;-51.206855;Hospital; ;91720-260;RUA CLEMENCIANO BARNASQUE, 733 - TERESOPOLIS;;ATIVO
329;4303004;430300;483;Vales;27;REGIÃO 27 - JACUÍ CENTRO;08ª CRS;Cachoeira do Sul;2266474;HOSPITAL DE CARIDADE E BENEFICENCIA;;HOSPITAL DE CARIDADE E BENEFICENCIA;5;HOSPITAL GERAL;ENTIDADES SEM FINS LUCRATIVOS;MUNICIPAL;-30.045546;-52.894773;Hospital; ;96508-000;RUA SALDANHA MARINHO, 48 - CENTRO;10.0;ATIVO
332;4314100;431410;473;Norte;17;REGIÃO 17 - PLANALTO;06ª CRS;Passo Fundo;2244969;HOSPITAL DE OLHOS LIONS PASSO FUNDO;;FUNDACAO HOSPITALAR OFTALMOLOGICA UNIVERSITARIA LIONS;7;HOSPITAL ESPECIALIZADO;ENTIDADES SEM FINS LUCRATIVOS;ESTADUAL;-28.233;-52.383987;Hospital;PREDIO 2 QUADRA K;99052-900;CAMPUS I,  - SAO JOSE;;ATIVO
336;4317301;431730;477;Sul;21;REGIÃO 21 - SUL;03ª CRS;Santa Vitória do Palmar;2233398;IRMANDADE S CASA DE MISERICORDIA DE S V PALMAR;;IRMANDADADE DA S CASA DE MISERICORDIA DE SV PALMAR;5;HOSPITAL GERAL;ENTIDADES SEM FINS LUCRATIVOS;ESTADUAL;-33.524364;-53.372112;Hospital; ;96230-000;DOUTOR ALIPIO SANTIAGO CORREA, 55 - CENTRO;;ATIVO
343;4313300;431330;481;Serra;25;REGIÃO 25 - VINHEDOS E BASALTO;05ª CRS;Nova Prata;2241161;HOSPITAL SAO JOAO BATISTA;;HOSPITAL SAO JOAO BATISTA;5;HOSPITAL GERAL;ENTIDADES SEM FINS LUCRATIVOS;MUNICIPAL;-28.784367;-51.612636;Hospital; ;95320-000;AV CONEGO PERES, 765 - CENTRO;;ATIVO
347;4314100;431410;473;Norte;17;REGIÃO 17 - PLANALTO;06ª CRS;Passo Fundo;2246988;HOSPITAL SAO VICENTE DE PAULO PASSO FUNDO;;ASSOCIACAO HOSPITALAR BENEFICENTE SAO VICENTE DE PAULO;5;HOSPITAL GERAL;ENTIDADES SEM FINS LUCRATIVOS;ESTADUAL;-28.259953;-52.413386;Hospital; ;99010-080;RUA TEIXEIRA SOARES, 808 - CENTRO;42.0;ATIVO
348;4314902;431490;466;Metropolitana;10;REGIÃO 10 - CAPITAL E VALE DO GRAVATAÍ;01ª CRS;Porto Alegre;2237598;HOSPITAL DIVINA PROVIDENCIA;;SOCIEDADE SULINA DIVINA PROVIDENCIAHOSPITAL DIVINA PROVIDEN;5;HOSPITAL GERAL;ENTIDADES SEM FINS LUCRATIVOS;MUNICIPAL;-30.084735;-51.18811;Hospital;GLORIA;91712-160;RUA DA GRUTA, 145 - CASCATA;12.0;ATIVO
349;4314902;431490;466;Metropolitana;10;REGIÃO 10 - CAPITAL E VALE DO GRAVATAÍ;01ª CRS;Porto Alegre;3881660;CLINICA PINEL;;ASSOCIACAO ENCARNACION BLAYA;7;HOSPITAL ESPECIALIZADO;ENTIDADES SEM FINS LUCRATIVOS;MUNICIPAL;-30.0505398;-51.2065476;Hospital;;90040-373;RUA SANTANA, 1455 - SANTANA;;ATIVO
356;4314407;431440;477;Sul;21;REGIÃO 21 - SUL;03ª CRS;Pelotas;2252376;HOSPITAL ESPIRITA DE PELOTAS;;HOSPITAL ESPIRITA DE PELOTAS;7;HOSPITAL ESPECIALIZADO;ENTIDADES SEM FINS LUCRATIVOS;MUNICIPAL;-31.752;-52.305155;Hospital;;96085-470;AV DOMINGOS DE ALMEIDA, 2969 - AREAL;;ATIVO
361;4314902;431490;466;Metropolitana;10;REGIÃO 10 - CAPITAL E VALE DO GRAVATAÍ;01ª CRS;Porto Alegre;2906163;SAO PIETRO SERVICOS DE SAUDE LTDA;;SAO PIETRO SERVICOS DE SAUDE LTDA;5;HOSPITAL GERAL;ENTIDADES EMPRESARIAIS;MUNICIPAL;-30.02237;-51.1541851;Hospital;;91360-090;ENGENHEIRO WALTER BOEHL, 285 - VILA IPIRANGA;;ATIVO
363;4300604;430060;466;Metropolitana;10;REGIÃO 10 - CAPITAL E VALE DO GRAVATAÍ;01ª CRS;Alvorada;2232081;HOSPITAL ALVORADA;;HOSPITAL ANA NERY SANTA CRUZ DO SUL;5;HOSPITAL GERAL;ENTIDADES SEM FINS LUCRATIVOS;ESTADUAL;-30.008392;-51.074397;Hospital; ;94814-300;RUA JARCI ZAMIN, 170 - TRES FIGUEIRAS;;ATIVO
366;4318903;431890;467;Missioneira;11;REGIÃO 11 - SETE POVOS DAS MISSÕES;12ª CRS;São Luiz Gonzaga;2259893;HOSPITAL SAO LUIZ GONZAGA;;SOCIEDADE HOSPITALAR SAO LUIZ GONZAGA;5;HOSPITAL GERAL;ENTIDADES SEM FINS LUCRATIVOS;ESTADUAL;-28.406928;-54.962856;Hospital; ;97800-000;RUA GENERAL PORTINHO, 1425 - CENTRO;;ATIVO
398;4301404;430140;475;Norte;19;REGIÃO 19 - BOTUCARAÍ;06ª CRS;Arvorezinha;2252163;HOSPITAL BENEFICENTE SAO JOAO - ARVOREZINHA;;HOSPITAL SAO JOAO DE ARVOREZINHA;5;HOSPITAL GERAL;ENTIDADES SEM FINS LUCRATIVOS;ESTADUAL;-28.871394;-52.179492;Hospital; ;95995-000;DALTRO FILHO, 321 - CENTRO;;ATIVO
418;4307005;430700;472;Norte;16;REGIÃO 16 - ALTO URUGUAI GAÚCHO;11ª CRS;Erechim;2249472;HOSPITAL DE CARIDADE DE ERECHIM;;HOSPITAL DE CARIDADE DE ERECHIM;5;HOSPITAL GERAL;ENTIDADES SEM FINS LUCRATIVOS;DUPLA;-27.634046;-52.268907;Hospital; ;99700-372;AV COMANDANTE KRAEMER, 405 - CENTRO;;ATIVO
426;4312708;431270;472;Norte;16;REGIÃO 16 - ALTO URUGUAI GAÚCHO;11ª CRS;Nonoai;2228688;HOSPITAL COMUNITARIO NONOAI;;SOCIEDADE HOSPITALAR COMUNITARIA E BENEFICIENTE NONOAI;5;HOSPITAL GERAL;ENTIDADES SEM FINS LUCRATIVOS;DUPLA;-27.362319;-52.773692;Hospital;PREDIO;99600-000;RUA PE MANOEL GOMES GONZALES, 395 - OPERARIO;;ATIVO
429;4317103;431710;459;Centro-Oeste;3;REGIÃO 03 - FRONTEIRA OESTE;10ª CRS;Santana do Livramento;2248220;SANTA CASA DE MISERICORDIA;;SANTA CASA DE MISERICORDIA;5;HOSPITAL GERAL;ENTIDADES SEM FINS LUCRATIVOS;MUNICIPAL;-30.889872;-55.53804;Hospital; ;97573-560;RUA MANDUCA RODRIGUES, 295 - CENTRO;10.0;ATIVO
432;4304507;430450;477;Sul;21;REGIÃO 21 - SUL;03ª CRS;Canguçu;2232928;HOSPITAL DE CARIDADE DE CANGUCU;;HOSPITAL DE CARIDADE DE CANGUCU;5;HOSPITAL GERAL;ENTIDADES SEM FINS LUCRATIVOS;DUPLA;-31.391612;-52.678538;Hospital;CASA;96600-000;RUA JOSE ALBANO DE SOUZA, 140 - CENTRO;;ATIVO
433;4320701;432070;483;Vales;27;REGIÃO 27 - JACUÍ CENTRO;08ª CRS;Sobradinho;2234408;HOSPITAL DR HOMERO SOBRADINHO;;CASA DE SAUDE DR HOMERO LIMA MENEZES LTDA;5;HOSPITAL GERAL;ENTIDADES EMPRESARIAIS;MUNICIPAL;-29.420059;-53.028699;Hospital; ;96900-000;RUA DR HOMERO LIMA MENEZES, 157 - CENTRO;;ATIVO
436;4311908;431190;472;Norte;16;REGIÃO 16 - ALTO URUGUAI GAÚCHO;11ª CRS;Marcelino Ramos;2249618;HOSPITAL CLINICAS DOUTOR SILVEIRA DE MARCELINO RAMOS;;ASSOCIACAO HOSPITALAR MARCELINENSE;5;HOSPITAL GERAL;ENTIDADES SEM FINS LUCRATIVOS;DUPLA;-27.467733;-51.91007;Hospital; ;99800-000;RUA DOUTOR JOAO DA SILVEIRA, 258 - CENTRO;;ATIVO
444;4302105;430210;481;Serra;25;REGIÃO 25 - VINHEDOS E BASALTO;05ª CRS;Bento Gonçalves;2241021;HOSPITAL TACCHINI;;ASSOCIACAO DR BARTHOLOMEU TACCHINI;5;HOSPITAL GERAL;ENTIDADES SEM FINS LUCRATIVOS;MUNICIPAL;-29.167332;-51.514586;Hospital; ;95700-000;RUA JOSE MARIO MONACO, 358 - CENTRO;26.0;ATIVO
477;4307559;430755;472;Norte;16;REGIÃO 16 - ALTO URUGUAI GAÚCHO;11ª CRS;Estação;2249626;HOSPITAL SANTO ANTONIO ESTACAO;;HOSPITAL SANTO ANTONIO LTDA;5;HOSPITAL GERAL;ENTIDADES SEM FINS LUCRATIVOS;ESTADUAL;-27.913072;-52.257231;Hospital; ;99930-000;RUA LIDO TAGLIARI, 931 - CENTRO;;ATIVO
478;4303608;430360;462;Metropolitana;6;REGIÃO 06 - VALE DO PARANHANA E COSTA SERRA;01ª CRS;Cambará do Sul;5602742;FUNDACAO HOSPITALAR SAO JOSE;;FUNDACAO HOSPITALAR SAO JOSE;5;HOSPITAL GERAL;ENTIDADES SEM FINS LUCRATIVOS;ESTADUAL;-29.050444;-50.148009;Hospital;PREDIO;95480-000;RUA PADRE JOAO PAZZA, 315 - CENTRO;;ATIVO
505;4312401;431240;464;Metropolitana;8;REGIÃO 08 - VALE DO CAÍ E METROPOLITANA;01ª CRS;Montenegro;2227959;HOSPITAL UNIMED VALE DO CAI;;UNIMED VALE DO CAI SOC COOP DE SERV DE SAUDE LTDA;5;HOSPITAL GERAL;ENTIDADES EMPRESARIAIS;MUNICIPAL;-29.694046;-51.480275;Hospital; ;95780-000;RUA JULIO RENNER, 450 - TIMBAUVA;9.0;ATIVO
528;4307500;430750;475;Norte;19;REGIÃO 19 - BOTUCARAÍ;06ª CRS;Espumoso;2246813;HOSPITAL SAO SEBASTIAO - ESPUMOSO;;CONGREGACAO DE NOSSA SENHORA;5;HOSPITAL GERAL;ENTIDADES SEM FINS LUCRATIVOS;ESTADUAL;-28.726173;-52.845453;Hospital; ;99400-000;RUA PADRE REUS, 80 - CENTRO;;ATIVO
542;4313607;431360;474;Norte;18;REGIÃO 18 - ARAUCÁRIAS;06ª CRS;Paim Filho;2247046;HOSPITAL SANTA TEREZINHA - PAIM FILHO;;HOSPITAL SANTA TEREZINHA;5;HOSPITAL GERAL;ENTIDADES SEM FINS LUCRATIVOS;ESTADUAL;-27.707893;-51.763246;Hospital; ;99850-000;RUA DR MILTON MICHELIN, 39 - CENTRO;;ATIVO
545;4319901;431990;463;Metropolitana;7;REGIÃO 07 - VALE DOS SINOS;01ª CRS;Sapiranga;2232154;HOSPITAL SAPIRANGA;;SOCIEDADE BENEFICENTE SAPIRANGUENSE;5;HOSPITAL GERAL;ENTIDADES SEM FINS LUCRATIVOS;ESTADUAL;-29.64065;-51.006992;Hospital; ;93800-000;GETULIO VARGAS, 527 - CENTRO;7.0;ATIVO
550;4301206;430120;483;Vales;27;REGIÃO 27 - JACUÍ CENTRO;08ª CRS;Arroio do Tigre;2234424;HOSPITAL SANTA ROSA DE LIMA;;ASSOCIACAO BENEFICENTE SANTA ROSA DE LIMA;5;HOSPITAL GERAL;ENTIDADES SEM FINS LUCRATIVOS;ESTADUAL;-29.334813;-53.091997;Hospital; ;96950-000;RUA DOM GUILHERME MULLER, 932 - CENTRO;;ATIVO
570;4320503;432050;473;Norte;17;REGIÃO 17 - PLANALTO;06ª CRS;Sertão;2246805;HOSPITAL SAO JOSE - SERTAO;;HOSPITAL SAO JOSE;5;HOSPITAL GERAL;ENTIDADES SEM FINS LUCRATIVOS;ESTADUAL;-27.988196;-52.25962;Hospital; ;99170-000;AV GEN ERNESTO DORNELES, 1041 - CENTRO;;ATIVO
598;4314407;431440;477;Sul;21;REGIÃO 21 - SUL;03ª CRS;Pelotas;2252694;HOSPITAL ESCOLA DA UNIVERSIDADE FEDERAL DE PELOTAS;;HOSPITAL ESCOLA DA UFPEL FUNDACAO DE APOIO UNIVERSITARIO;5;HOSPITAL GERAL;ENTIDADES EMPRESARIAIS;MUNICIPAL;-31.764721;-52.346979;Hospital; ;96020-360;RUA PROFESSOR ARAUJO, 538 - CENTRO;5.0;ATIVO
606;4313805;431380;471;Norte;15;REGIÃO 15 - CAMINHO DAS ÁGUAS;02ª CRS;Palmitinho;2228580;HOSPITAL SANTA TEREZINHA PALMITINHO;;HOSPITAL SANTA TEREZINHA DE PALMITINHO;5;HOSPITAL GERAL;ENTIDADES SEM FINS LUCRATIVOS;ESTADUAL;-27.356581;-53.556614;Hospital;PREDIO;98430-000;RUA CARLOS GOMES, 320 - CENTRO;;ATIVO
629;4305108;430510;479;Serra;23;REGIÃO 23 - CAXIAS E HORTÊNSIAS;05ª CRS;Caxias do Sul;2223546;HOSPITAL POMPEIA;;PIO SODALICIO DAS DAMAS DE CARIDADE DE CAXIAS DO SUL;5;HOSPITAL GERAL;ENTIDADES SEM FINS LUCRATIVOS;MUNICIPAL;-29.167374;-51.183618;Hospital; ;95010-005;AV JULIO DE CASTILHOS, 2163 - CENTRO;30.0;ATIVO
634;4301503;430150;469;Missioneira;13;REGIÃO 13 - DIVERSIDADE;17ª CRS;Augusto Pestana;2261081;HOSPITAL SAO FRANCISCO;;ASSOCIACAO PROTETORA HOSPITAL SAO FRANCISCO;5;HOSPITAL GERAL;ENTIDADES SEM FINS LUCRATIVOS;ESTADUAL;-28.51767;-53.988815;Hospital; ;98740-000;RUA DR OROZIMBO SAMPAIO, 0 - CENTRO;;ATIVO
641;4309308;430930;465;Metropolitana;9;REGIÃO 09 - CARBONÍFERA/COSTA DOCE;01ª CRS;Guaíba;181927;ASSOCIACAO HOSPITALAR VILA NOVA GUAIBA;;ASSOCIACAO HOSPITALAR VILA NOVA;5;HOSPITAL GERAL;ENTIDADES SEM FINS LUCRATIVOS;ESTADUAL;-30.1134188;-51.3313706;Hospital;HOSPITAL;92704-305;RUA SAO PAULO, 800 - CENTRO;;ATIVO
647;4314902;431490;466;Metropolitana;10;REGIÃO 10 - CAPITAL E VALE DO GRAVATAÍ;01ª CRS;Porto Alegre;5029880;DIAGLASER CENTRO DE DIAGNOSTICO E HOSPITAL DIA LTDA;;DIAGLASER CENTRO DE DIAGNOSTICO E HOSPITAL DIA LTDA;62;HOSPITAL/DIA - ISOLADO;ENTIDADES EMPRESARIAIS;MUNICIPAL;-30.046;-51.207859;Hospital;SALA 1302;90620-130;RUA GOMES JARDIM, 301 - SANTANA;;ATIVO
654;4320305;432030;468;Missioneira;12;REGIÃO 12 - PORTAL DAS MISSÕES;09ª CRS;Selbach;2238810;HOSPITAL SAO JACOB;;SOCIEDADE HOSPITALAR SAO JACOB;5;HOSPITAL GERAL;ENTIDADES SEM FINS LUCRATIVOS;ESTADUAL;-28.62769;-52.953545;Hospital; ;99450-000;RUA 15 DE NOVEMBRO, 153 - CENTRO;;ATIVO
657;4314605;431460;477;Sul;21;REGIÃO 21 - SUL;03ª CRS;Piratini;2233347;HOSPITAL DE CARIDADE NOSSA SENHORA DA CONCEICAO PIRATINI;;HOSPITAL DE CARIDADE NOSSA SENHORA DA CONCEICAO;5;HOSPITAL GERAL;ENTIDADES SEM FINS LUCRATIVOS;ESTADUAL;-31.448959;-53.107318;Hospital; ;96490-000;AVENIDA SEIS DE JULHO, 42 - CENTRO;;ATIVO
672;4300034;430003;478;Sul;22;REGIÃO 22 - PAMPA;07ª CRS;Aceguá;2262010;HOSPITAL DA COLONIA NOVA;;COMUNIDADE DA COLONIA NOVA HOSPITAL;5;HOSPITAL GERAL;ENTIDADES SEM FINS LUCRATIVOS;ESTADUAL;-31.665742;-54.068925;Hospital; ;96445-000;POSTO CORREIO DA COLONIA NOVA, 10 - CENTRO;;ATIVO
684;4303707;430370;470;Missioneira;14;REGIÃO 14 - FRONTEIRA NOROESTE;14ª CRS;Campina das Missões;2250802;HOSPITAL CAMPINA;;ASSOC ASSIST CULT E HOSP PE BENEDITO MEISTER C MISSOES;5;HOSPITAL GERAL;ENTIDADES SEM FINS LUCRATIVOS;DUPLA;-27.990951;-54.838916;Hospital;CASA;98975-000;RUA SANTA MARIA, 744 - CENTRO;;ATIVO
689;4314100;431410;473;Norte;17;REGIÃO 17 - PLANALTO;06ª CRS;Passo Fundo;6010830;HOSPITAL ORTOPEDICO DE PASSO FUNDO;;ASSOC HOSPITALAR ORTOPEDICA E TRAUMATOLOGICA DE PASSO FUNDO;7;HOSPITAL ESPECIALIZADO;ENTIDADES SEM FINS LUCRATIVOS;MUNICIPAL;-28.25661063;-52.41773071;Hospital;;99010121;AVENIDA SETE DE SETEMBRO, 817 - CENTRO;;ATIVO
694;4321501;432150;460;Metropolitana;4;REGIÃO 04 - BELAS PRAIAS;18ª CRS;Torres;2707950;HOSPITAL BENEFICENTE NOSSA SENHORA DOS NAVEGANTES;;ASSOCIACAO EDUCADORA SAO CARLOS;5;HOSPITAL GERAL;ENTIDADES SEM FINS LUCRATIVOS;ESTADUAL;-29.335034;-49.728047;Hospital; ;95560-000;MANOEL JOSE DE MATOS PEREIRA, 260 - CENTRO;5.0;ATIVO
715;4322103;432210;470;Missioneira;14;REGIÃO 14 - FRONTEIRA NOROESTE;14ª CRS;Tucunduva;5050170;HOSPITAL DR OSVALDO TEIXEIRA;;ASSOCIACAO HOSPITALAR TUCUNDUVA E NOVO MACHADO;5;HOSPITAL GERAL;ENTIDADES SEM FINS LUCRATIVOS;DUPLA;-27.659532;-54.443542;Hospital;PREDIO;98930-000;RUA SAO LUIZ, 96 - CENTRO;;ATIVO
738;4302907;430290;458;Centro-Oeste;2;REGIÃO 02 - ENTRE RIOS;04ª CRS;Cacequi;5699525;INSTITUTO DE SAUDE E EDUCACAO VIDA CACEQUI;;INSTITUTO DE SAUDE E EDUCACAO VIDA;5;HOSPITAL GERAL;ENTIDADES SEM FINS LUCRATIVOS;ESTADUAL;-29.875475;-54.824761;Hospital; ;97450-000;AVN OSVALDO ARANHA, 550 - CENTRO;;ATIVO
