objectid;restricao;escola;codigo_inep;municipio;localizacao;localidade_dif;endereco;telefone;porte_escola;etapas_modalidade;outras_ofertas_educ;latitude;longitude;cre;classif_porte;cod_idt;tp;cod_ibge_mun;ens_medio_tempo_integral;tp_risco
83;ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;ESC EST ED BAS DR CELESTINO LOPES CAVALHEIRO;43136125;São Gabriel;Urbana;A escola não está em área de localização diferenciada;R RUA MAURICIO CARDOSO 574, 574 CENTRO. 97300-118 São Gabriel - RS.;(55) 32323314;Entre 201 e 500 matrículas de escolarização;Ensino Fundamental, Educação de Jovens Adultos;Atendimento Educacional Especializado;-29.49258687;-51.52710594;19;4;13612;Escola Regular;4318309;0;Sem Risco Mapeado
89;ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;COL ESTADUAL MONSENHOR ASSIS;43128246;Santiago;Urbana;A escola não está em área de localização diferenciada;R JOAO AQUINO 414, 414 VISTA ALEGRE. 97714-276 Santiago - RS.;;Entre 501 e 1000 matrículas de escolarização;Ensino Fundamental, Ensino Médio, Educação de Jovens Adultos;Atendimento Educacional Especializado;-28.68696388;-53.60388264;35;5;12824;Escola Regular;4317400;1;Sem Risco Mapeado
93;ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;ESC EST ENS FUN ITAUBA;43016928;Estrela Velha;Rural;A escola não está em área de localização diferenciada;VL ITAUBA 647, 647 INTERIOR. 96990-000 Estrela Velha - RS.;;Entre 51 e 200 matrículas de escolarização;Ensino Fundamental, Educação de Jovens Adultos;Atendimento Educacional Especializado;-28.43835098;-54.5294469;24;3;1692;Escola Regular;4307815;0;Sem Risco Mapeado
97;ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;ESC EST ENS MED PROF CAROLINA ARGEMI VAZQUEZ CIEP;43171516;Rosário do Sul;Urbana;A escola não está em área de localização diferenciada;R CEL SABINO DE ARAUJO 1619, 1619 JOAO NUNES. 97590-000 Rosário do Sul - RS.;(55) 32315845;Entre 201 e 500 matrículas de escolarização;Ensino Fundamental, Ensino Médio;Atendimento Educacional Especializado;-30.11576;-51.21015;19;4;17151;Escola Regular;4316402;1;Sem Risco Mapeado
98;ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;ESC EST ENS FUN DONA HERCILIA PETRY;43043151;Caxias do Sul;Urbana;A escola não está em área de localização diferenciada;R BALDUINO SCHUMACHER 53, 53 ANA RECH. 95060-120 Caxias do Sul - RS.;(54) 32833260;Entre 201 e 500 matrículas de escolarização;Ensino Fundamental;;-30.15464686;-51.19929684;4;4;4315;Escola Regular;4305108;0;Sem Risco Mapeado
100;ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;ESC EST ENS FUN PROF AUGUSTO MEYER;43139353;São Leopoldo;Urbana;A escola não está em área de localização diferenciada;R REINALDO BECKER 225, 225 SCHARLAU. 93125-020 São Leopoldo - RS.;;Entre 201 e 500 matrículas de escolarização;Ensino Fundamental;;-29.64338777;-50.45084721;2;4;13935;Escola Regular;4318705;0;Sem Risco Mapeado
102;ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;ESC EST ENS MED MAJOR BELARMINO CORTES;43049907;Cruz Alta;Urbana;A escola não está em área de localização diferenciada;R GERMANO ZENKNER 1146, 1146 DIRCEU. 98050-010 Cruz Alta - RS.;(55) 33226744;Entre 201 e 500 matrículas de escolarização;Ensino Fundamental, Ensino Médio, Educação de Jovens Adultos;Atendimento Educacional Especializado;-30.0043819;-50.1486196;9;4;4990;Escola Regular;4306106;0;Sem Risco Mapeado
103;ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;ESC EST ENS MED JARDIM PLANALTO;43060374;Esteio;Urbana;A escola não está em área de localização diferenciada;AV AVENIDA JOAO PAULO I 1177, 1177 JARDIM PLANALTO. 93290-340 Esteio - RS.;(51) 34614151;Entre 201 e 500 matrículas de escolarização;Ensino Fundamental, Ensino Médio;;-29.16859096;-51.19070138;27;4;6037;Escola Regular;4307708;0;Sem Risco Mapeado
104;ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;ESC EST ENS FUN JOSE GARIBALDI;43109179;Porto Alegre;Urbana;A escola não está em área de localização diferenciada;R DR CAIO BRANDAO DE MELLO 300 PREDIO, 300 PREDIO. PARQUE HUMAITA. 90250-110 Porto Alegre - RS.;(51) 33742774;Entre 201 e 500 matrículas de escolarização;Ensino Fundamental;Atendimento Educacional Especializado;-29.1815106;-51.1623823;1;4;10917;Escola Regular;4314902;0;Risco Hidrológico
105;ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;ESC EST ENS FUN MAURICIO SIROTSKY SOBRINHO;43171206;Passo Fundo;Urbana;A escola não está em área de localização diferenciada;AV PRESIDENTE VARGAS 317 FUNDOS, 317 FUNDOS. SAO CRISTOVAO. 99070-000 Passo Fundo - RS.;(54) 33112580;Entre 201 e 500 matrículas de escolarização;Ensino Fundamental;;-27.81878407;-53.41849985;7;4;17120;Escola Regular;4314100;0;Sem Risco Mapeado
111;ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;NUCL E EJA E CP PASSO FUNDO;43170790;Passo Fundo;Urbana;A escola não está em área de localização diferenciada;AV PRESIDENTE VARGAS 100 SALAS, 100 SALAS. CENTRO. 99070-000 Passo Fundo - RS.;(54) 31981781;Entre 201 e 500 matrículas de escolarização;Educação de Jovens Adultos;;-32.55733013;-53.37318688;7;4;17079;Escola Regular;4314100;0;Sem Risco Mapeado
112;ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;ESC EST ENS FUN PADRE LEO;43106919;Porto Alegre;Urbana;A escola não está em área de localização diferenciada;R RUA NOSSA SENHORA DE FATIMA 195 PREDIO, 195 PREDIO. RUBEM BERTA. 91250-472 Porto Alegre - RS.;(51) 33661088;Entre 201 e 500 matrículas de escolarização;Ensino Fundamental;;-30.01159076;-51.15348875;1;4;10691;Escola Regular;4314902;0;Sem Risco Mapeado
113;ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;ESC EST ENS MED GETULIO DORNELLES VARGAS;43171150;Dom Pedrito;Urbana;A escola não está em área de localização diferenciada;R PEDRO PAZ SOBRINHO 1991, 1991 OSCAR VICENTE E SILV. 96450-000 Dom Pedrito - RS.;(53) 32432120;Entre 201 e 500 matrículas de escolarização;Ensino Fundamental, Ensino Médio, Educação de Jovens Adultos;Atendimento Educacional Especializado;-29.97981372;-51.12599846;13;4;17115;Escola Regular;4306601;1;Risco Hidrológico
114;ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;ESC EST ENS FUN LUIZ DE AZAMBUJA SOARES;43108954;Porto Alegre;Urbana;A escola não está em área de localização diferenciada;R PRIMEIRO DE SETEMBRO 480 PREDIO, 480 PREDIO. SAO JOSE. 91520-540 Porto Alegre - RS.;;Entre 201 e 500 matrículas de escolarização;Ensino Fundamental;;-30.13535537;-51.36819603;1;4;10895;Escola Regular;4314902;0;Sem Risco Mapeado
118;ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;ESC EST ENS FUN MANE GARRINCHA CIEP ESPORTIVO;43173195;Porto Alegre;Urbana;A escola não está em área de localização diferenciada;AV ERICO VERISSIMO 1255, 1255 MENINO DEUS. 90160-181 Porto Alegre - RS.;(51) 32321402;Entre 201 e 500 matrículas de escolarização;Ensino Fundamental;;-29.75511872;-50.03205154;1;4;17319;Escola Regular;4314902;0;Sem Risco Mapeado
123;ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;ESC EST ENS FUN JOSEFINA JACQUES NORONHA;43143970;São Sebastião do Caí;Urbana;A escola não está em área de localização diferenciada;R GARIBALDI 070, 070 VILA RICA. 95760-000 São Sebastião do Caí - RS.;(51) 36354333;Entre 201 e 500 matrículas de escolarização;Ensino Fundamental;;-29.91555;-51.18579;2;4;14397;Escola Regular;4319505;0;Sem Risco Mapeado
124;ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;ESC EST ENS MED ANITA GARIBALDI;43069665;Gravataí;Urbana;A escola não está em área de localização diferenciada;R LOPES TROVAO 250, 250 MORADA DO VALE II. 94120-320 Gravataí - RS.;(51) 34974730;Entre 201 e 500 matrículas de escolarização;Ensino Fundamental, Ensino Médio, Educação de Jovens Adultos;;-29.21743221;-51.23124297;28;4;6966;Escola Regular;4309209;0;Sem Risco Mapeado
128;ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;ESC EST ENS MED CAMPINAS DO SUL;43033466;Campinas do Sul;Urbana;A escola não está em área de localização diferenciada;R PEDRO ALVARES CABRAL 425 PREDIO, 425 PREDIO. CENTRO. 99660-000 Campinas do Sul - RS.;(54) 33661166;Entre 201 e 500 matrículas de escolarização;Ensino Fundamental, Ensino Médio, Educação Profissional;;-30.07141829;-51.11627882;15;4;3346;Escola Regular;4303806;0;Sem Risco Mapeado
134;ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;ESC EST ENS MED ELVIRA JOST;43091105;Nova Hartz;Urbana;A escola não está em área de localização diferenciada;R EMILIO JOST 386, 386 CENTRO. 93890-000 Nova Hartz - RS.;;Entre 501 e 1000 matrículas de escolarização;Ensino Fundamental, Ensino Médio;Atendimento Educacional Especializado;-30.0465594;-51.1293932;2;5;9110;Escola Regular;4313060;0;Sem Risco Mapeado
145;ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;ESC EST ENS MED DR LIBERATO SALZANO VIEIRA DA CUNHA;43029345;Cachoeira do Sul;Urbana;A escola não está em área de localização diferenciada;R CEL JOAO LEITAO 1546, 1546 TUPINAMBA. 96506-670 Cachoeira do Sul - RS.;(51) 37244536;Entre 501 e 1000 matrículas de escolarização;Ensino Fundamental, Ensino Médio, Educação de Jovens Adultos;Atendimento Educacional Especializado;-29.70101;-53.75955;24;5;2934;Escola Regular;4303004;1;Sem Risco Mapeado
147;ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;ESC EST ENS FUN IRMA CLESSIA;43069150;Gravataí;Urbana;A escola não está em área de localização diferenciada;R CORONEL SARMENTO 760, 760 CENTRO. 94010-030 Gravataí - RS.;;Entre 201 e 500 matrículas de escolarização;Ensino Fundamental;;-30.26160928;-54.90429955;28;4;6915;Escola Regular;4309209;0;Risco Hidrológico
148;ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;ESC EST ENS FUN SAO DOMINGOS SAVIO;43062113;Faxinal do Soturno;Rural;A escola não está em área de localização diferenciada;VL SANTOS ANJOS SN, SN INTERIOR. 97220-000 Faxinal do Soturno - RS.;(55) 32632001;Entre 51 e 200 matrículas de escolarização;Ensino Fundamental;;-30.859858;-51.820479;8;3;6211;Escola Regular;4308003;0;Sem Risco Mapeado
159;ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;COL ESTADUAL MANOEL RIBAS;43121934;Santa Maria;Urbana;A escola não está em área de localização diferenciada;R JOSE DO PATROCINIO 85, 85 CENTRO. 97010-260 Santa Maria - RS.;(55) 32213105;Entre 501 e 1000 matrículas de escolarização;Ensino Médio, Educação de Jovens Adultos;;-31.28592985;-51.09622886;8;5;12193;Escola Regular;4316907;0;Sem Risco Mapeado
163;ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;COL ESTADUAL SANTOS DUMONT;43068634;Gramado;Urbana;A escola não está em área de localização diferenciada;R RUA SAO PEDRO 301 PREDIO, 301 PREDIO. CENTRO. 95670-150 Gramado - RS.;(54) 32861002;Entre 501 e 1000 matrículas de escolarização;Ensino Fundamental, Ensino Médio;Atendimento Educacional Especializado;-30.20483678;-57.55037859;4;5;6863;Escola Regular;4309100;0;Sem Risco Mapeado
168;ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;COL ESTADUAL ANTONIO GOMES CORREA;43069100;Gravataí;Urbana;A escola não está em área de localização diferenciada;R DEMETRIO ALVES DA SILVA 35, 35 PARQUE DOS ANJOS. 94190-090 Gravataí - RS.;(51) 34213364;Entre 501 e 1000 matrículas de escolarização;Ensino Fundamental, Ensino Médio;Atendimento Educacional Especializado;-27.66231383;-54.44162407;28;5;6910;Escola Regular;4309209;0;Risco Hidrológico
174;ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;ESC EST ENS FUN JOAO LINK SOBRINHO;43123325;Santa Maria;Urbana;A escola não está em área de localização diferenciada;R CARLOS LAUDA 110, 110 ITARARE. 97045-110 Santa Maria - RS.;;Até 50 matrículas de escolarização;Ensino Fundamental;Atendimento Educacional Especializado;-29.8366226;-50.7985979;8;2;12332;Escola Regular;4316907;0;Sem Risco Mapeado
175;ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;ESC EST ENS MED DOM PEDRO DE ALCANTARA;43156290;Dom Pedro de Alcântara;Urbana;A escola não está em área de localização diferenciada;AV CENTRAL 15, 15 CENTRO. 95568-000 Dom Pedro de Alcântara - RS.;(51) 36640101;Entre 51 e 200 matrículas de escolarização;Ensino Fundamental, Ensino Médio;;-27.3544629;-53.393834;11;3;15629;Escola Regular;4306551;1;Sem Risco Mapeado
176;ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;ESC EST ENS MED LUIZ MOSCHETTI;43038832;Capão da Canoa;Urbana;A escola não está em área de localização diferenciada;AV FLAVIO BOIANOVSKI 760, 760 ZONA NOVA. 95555-000 Capão da Canoa - RS.;;Entre 501 e 1000 matrículas de escolarização;Ensino Fundamental, Ensino Médio, Educação de Jovens Adultos;Atendimento Educacional Especializado;-27.77544352;-53.24440033;11;5;3883;Escola Regular;4304630;0;Sem Risco Mapeado
181;ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;COL ESTADUAL ANTONIO SCUSSEL;43066950;Getúlio Vargas;Urbana;A escola não está em área de localização diferenciada;R PROF FRANCISCO STAWINSKI 662, 662 CENTRO. 99900-000 Getúlio Vargas - RS.;(54) 33411604;Entre 201 e 500 matrículas de escolarização;Ensino Fundamental, Ensino Médio, Educação de Jovens Adultos;;-29.10482203;-52.90491652;15;4;6695;Escola Regular;4308904;0;Sem Risco Mapeado
191;ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;ESC EST ENS FUN MIGUEL WAWRUCH;43021026;Barão de Cotegipe;Rural;A escola não está em área de localização diferenciada;VL WAWRUCH SN PREDIO, SN PREDIO. INTERIOR. 99740-000 Barão de Cotegipe - RS.;;Até 50 matrículas de escolarização;Ensino Fundamental;;-29.72700246;-53.57943807;15;2;2102;Escola Regular;4301701;0;Sem Risco Mapeado
201;ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;ESC EST ENS FUN PONCHO VERDE;43108350;Porto Alegre;Urbana;A escola não está em área de localização diferenciada;AV DOUTOR PETRONIO PORTELLA 1100 PQ. ST FE, 1100 PQ. ST FE. RUBEM BERTA. 91180-520 Porto Alegre - RS.;(51) 33669625;Entre 501 e 1000 matrículas de escolarização;Ensino Fundamental;Atendimento Educacional Especializado;-28.3529253;-53.701658;1;5;10835;Escola Regular;4314902;0;Sem Risco Mapeado
202;ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;E E IND ENS FUN NIVO;43002625;Farroupilha;Rural;Terra indígena;ALD AREA RURAL S NUM, S NUM SANTA RITA. 95181-899 Farroupilha - RS.;(54) 995021443;Até 50 matrículas de escolarização;Educação Infantil, Ensino Fundamental;;-30.1238423;-51.9555027;4;2;21333;Escola Indígena;4307906;0;Sem Risco Mapeado
215;ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;ESC EST ENS FUN ROGACIANO GIORDANI;43051715;São Valentim do Sul;Rural;A escola não está em área de localização diferenciada;R BRASIL 473 ESCOLA, 473 ESCOLA. CENTRO. 99240-000 São Valentim do Sul - RS.;(54) 34722316;Até 50 matrículas de escolarização;Ensino Fundamental;;-29.639791;-50.797286;16;2;5171;Escola Regular;4319711;0;Sem Risco Mapeado
221;ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;E E IND ENS FUN VICENTE KARAI OKENDA;43002285;Erebango;Rural;Terra indígena;ROD RS 135 S/N CASA, S/N CASA. INTERIOR. 99920-000 Erebango - RS.;;Até 50 matrículas de escolarização;Educação Infantil, Ensino Fundamental;;-29.88639768;-53.87464649;15;2;18568;Escola Indígena;4306973;0;Sem Risco Mapeado
223;ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;ESC EST ENS FUN PADRE DOMENICO VICENTINI;43054447;Encantado;Urbana;A escola não está em área de localização diferenciada;R JOAO SANA 399, 399 CENTRO. 95960-000 Encantado - RS.;(51) 37511861;Entre 51 e 200 matrículas de escolarização;Ensino Fundamental;;-29.79647009;-51.13087754;3;3;5444;Escola Regular;4306809;0;Sem Risco Mapeado
229;ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;ESC EST ENS FUN SANTA LUZIA;43107338;Porto Alegre;Urbana;A escola não está em área de localização diferenciada;R DELFINO RIET 525, 525 SANTO ANTONIO. 90660-120 Porto Alegre - RS.;(51) 32192499;Entre 51 e 200 matrículas de escolarização;Ensino Fundamental;;-29.8606166;-51.1790869;1;3;10733;Escola Regular;4314902;0;Sem Risco Mapeado
232;ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;ESC EST ENS MED COLONIA DE PESCADORES Z 3;43012396;Pelotas;Rural;A escola não está em área de localização diferenciada;AV RAPHAEL BRUSQUE 63 2 DISTRITO, 63 2 DISTRITO. COLONIA Z3. 96130-000 Pelotas - RS.;(53) 31990483;Entre 51 e 200 matrículas de escolarização;Ensino Médio;;-29.92756;-51.06714;5;3;20555;Escola Regular;4314407;0;Risco Hidrológico
233;ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;ESC EST ENS FUN ANA NERI;43105840;Porto Alegre;Urbana;A escola não está em área de localização diferenciada;R JOAQUIM SILVEIRA 738, 738 SAO SEBASTIAO. 91060-320 Porto Alegre - RS.;;Entre 51 e 200 matrículas de escolarização;Ensino Fundamental;Atendimento Educacional Especializado;-29.1813741;-51.492361;1;3;10584;Escola Regular;4314902;0;Sem Risco Mapeado
239;ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;INST EST EDUC ERNESTO ALVES;43113958;Rio Pardo;Urbana;A escola não está em área de localização diferenciada;R ANDRADE NEVES 917, 917 CENTRO. 96640-000 Rio Pardo - RS.;(51) 37311269;Entre 501 e 1000 matrículas de escolarização;Ensino Fundamental, Ensino Médio, Educação Profissional;Atendimento Educacional Especializado;-30.1293679;-51.2163347;6;5;11395;Escola Regular;4315701;0;Sem Risco Mapeado
240;ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;ESC EST ENS MED PE JOAO BAPTISTA REUS SJ;43051162;Dezesseis de Novembro;Urbana;A escola não está em área de localização diferenciada;R TANCREDO NEVES 935 PREDIOS, 935 PREDIOS. CENTRO. 97845-000 Dezesseis de Novembro - RS.;;Entre 51 e 200 matrículas de escolarização;Ensino Fundamental, Ensino Médio;;-29.6350415;-50.9787679;32;3;5116;Escola Regular;4306353;1;Sem Risco Mapeado
244;ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;COL ESTADUAL HAIDEE TEDESCO REALI;43057004;Erechim;Urbana;A escola não está em área de localização diferenciada;PCA JAIME LUIZ LAGO SN, SN CENTRO. 99700-240 Erechim - RS.;(54) 33211133;Mais de 1000 matrículas de escolarização;Ensino Fundamental, Ensino Médio, Educação Profissional;Atendimento Educacional Especializado;-32.04531;-52.13307;15;6;5700;Escola Regular;4307005;0;Sem Risco Mapeado
252;ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;ESC EST ENS FUN PROFESSORA DELFINA LOUREIRO;43081975;Lagoa Vermelha;Urbana;A escola não está em área de localização diferenciada;R ROMEU LACERDA 83, 83 GAUCHA. 95300-000 Lagoa Vermelha - RS.;(54) 33583358;Entre 51 e 200 matrículas de escolarização;Ensino Fundamental;;-29.94263;-50.95118;7;3;8197;Escola Regular;4311304;0;Sem Risco Mapeado
257;ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;ESC EST ENS MED ASSIS BRASIL;43011691;Alecrim;Urbana;A escola não está em área de localização diferenciada;AV CARLOS ALBERTO SCHAEDLER 0325 PREDIO ESC, 0325 PREDIO ESC. CENTRO. 98950-000 Alecrim - RS.;(55) 35461365;Entre 51 e 200 matrículas de escolarização;Ensino Médio;;-29.89527576;-50.31849633;17;3;1169;Escola Regular;4300307;0;Sem Risco Mapeado
264;ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;ESC EST ENS FUN DR MARIO VIEIRA MARQUES CIEP;43171559;São Luiz Gonzaga;Urbana;A escola não está em área de localização diferenciada;TRV SETE DE SETEMBRO SN PREDIO, SN PREDIO. VILA FLORESTA. 97800-000 São Luiz Gonzaga - RS.;(55) 33521800;Entre 51 e 200 matrículas de escolarização;Ensino Fundamental;Atendimento Educacional Especializado;-30.03170695;-51.1118299;32;3;17155;Escola Regular;4318903;0;Sem Risco Mapeado
