;GmlId;objectid;cd_snisb;nm_barragem;nm_secundario;uso_principal;uf;municipio;risco;dano_potencial;nm_empreendedor;tp_empreendedor;org_fiscalizador;cd_bar_fiscalizador;regulada_pnsb;nm_autorizacao;pae;psb;rev_periodica;dt_ult_fiscalizacao;barragem_autuada;altura_fundacao_m;altura_terreno_m;capacidade_hm3;comp_coroamento_m;tp_material;uso_complementar;cd_curso_agua_barrado;nm_curso_agua;regiao_hidrografica;unidade_gestao;dt_ult_inspecao;tp_ult_inspecao;nv_perigo_global;possui_eclusa;fase_vida;latitude;longitude;completude_dados;barragem_outorgada;empreendedor_identificado;info_altura;maior_altura;faixa_altura;info_volume;fx_volume;info_altura_volume;classificada_cri;classificada_dpa;inspecao;fiscalização;mais_preocupa;n;sequencia;cd_ibge;nome_mun;corede;regiao_func;Shape
54;Cadastro_SNISB_20230720.55;55;2031.0;40269;;Irrigação;RS;URUGUAIANA;Não Classificado;Alto;Sem Informação;Sem Informação;RS - Secretaria de Meio Ambiente e Infraestrutura - SEMA;95690567096;Sim;40269;;Não;Não;;Não;8,45;8.45;1.318;0.0;Sem Informação;;82454.0;SEM NOME;Região Hidrográfica do URUGUAI;Quaraí;;;;;;-29.93778;-56.94833;mínima;Sim;Sim;Sim;8.45;"7,5 m &lt; h &lt; 15 m";Sim;Pequena entre 1 e 3 hm³;Sim;Não;Sim;Não;Não;Não;1;174.0;4322400;Uruguaiana;Fronteira Oeste;6;POINT (-56.94833000 -29.93778000)
55;Cadastro_SNISB_20230720.56;56;2032.0;404/10;;Irrigação;RS;URUGUAIANA;Não Classificado;Alto;Sem Informação;Sem Informação;RS - Secretaria de Meio Ambiente e Infraestrutura - SEMA;98990567096;Sim;404/10;;Não;Não;;Não;8,35;8.35;0.666;0.0;Sem Informação;;82456.0;Arroio Caiboaté;Região Hidrográfica do URUGUAI;Quaraí;;;;;;-29.87333;-56.76611;mínima;Sim;Sim;Sim;8.35;"7,5 m &lt; h &lt; 15 m";Sim;Pequena até 1 hm³;Sim;Não;Sim;Não;Não;Não;1;175.0;4322400;Uruguaiana;Fronteira Oeste;6;POINT (-56.76611000 -29.87333000)
64;Cadastro_SNISB_20230720.65;65;1925.0;1488/07;;Irrigação;RS;BARRA DO QUARAÍ;Não Classificado;Alto;Sem Informação;Sem Informação;RS - Secretaria de Meio Ambiente e Infraestrutura - SEMA;72510500070;Sim;1488/07;;Não;Não;;Não;2,8;2.8;0.186;0.0;Sem Informação;;824514.0;SEM NOME;Região Hidrográfica do URUGUAI;Quaraí;;;;;;-30.04667;-57.18389;mínima;Sim;Sim;Sim;2.8;"h &lt; 7,5 m";Sim;Pequena até 1 hm³;Sim;Não;Sim;Não;Não;Não;1;202.0;4301875;Barra do Quaraí;Fronteira Oeste;6;POINT (-57.18389000 -30.04667000)
65;Cadastro_SNISB_20230720.66;66;1889.0;578/07;;Irrigação;RS;BARRA DO QUARAÍ;Não Classificado;Alto;Sem Informação;Sem Informação;RS - Secretaria de Meio Ambiente e Infraestrutura - SEMA;24550500070;Sim;578/07;;Não;Não;;Não;6,5;6.5;0.34;0.0;Sem Informação;;82412.0;Sanga do Salso;Região Hidrográfica do URUGUAI;Quaraí;;;;;;-30.15639;-57.28028;mínima;Sim;Sim;Sim;6.5;"h &lt; 7,5 m";Sim;Pequena até 1 hm³;Sim;Não;Sim;Não;Não;Não;1;203.0;4301875;Barra do Quaraí;Fronteira Oeste;6;POINT (-57.28028000 -30.15639000)
66;Cadastro_SNISB_20230720.67;67;1890.0;130/2008;;Irrigação;RS;URUGUAIANA;Não Classificado;Alto;Sem Informação;Sem Informação;RS - Secretaria de Meio Ambiente e Infraestrutura - SEMA;28570500079;Sim;130/2008;;Não;Não;;Não;7;7.0;2.299;0.0;Sem Informação;;824514.0;SEM NOME;Região Hidrográfica do URUGUAI;Quaraí;;;;;;-30.04111;-57.14667;mínima;Sim;Sim;Sim;7.0;"h &lt; 7,5 m";Sim;Pequena entre 1 e 3 hm³;Sim;Não;Sim;Não;Não;Não;1;204.0;4322400;Uruguaiana;Fronteira Oeste;6;POINT (-57.14667000 -30.04111000)
67;Cadastro_SNISB_20230720.68;68;1934.0;1410/09;;Irrigação;RS;URUGUAIANA;Não Classificado;Alto;Sem Informação;Sem Informação;RS - Secretaria de Meio Ambiente e Infraestrutura - SEMA;61290567094;Sim;1410/09;;Não;Não;;Não;4,65;4.65;3.22;0.0;Sem Informação;;82456.0;Arroio Caiboaté;Região Hidrográfica do URUGUAI;Quaraí;;;;;;-30.04111;-56.88694;mínima;Sim;Sim;Sim;4.65;"h &lt; 7,5 m";Sim;Pequena entre 3 e 5 hm³;Sim;Não;Sim;Não;Não;Não;1;206.0;4322400;Uruguaiana;Fronteira Oeste;6;POINT (-56.88694000 -30.04111000)
68;Cadastro_SNISB_20230720.69;69;1942.0;0022/09;;Irrigação;RS;ITAQUI;Não Classificado;Alto;Condomínio Agropecuário Ceolin;Sem Informação;RS - Secretaria de Meio Ambiente e Infraestrutura - SEMA;1,0832056709e+11;Sim;0022/09;;Não;Não;;Não;10,2;10.2;0.583;0.0;Sem Informação;;826132.0;Sanga das Capivaras;Região Hidrográfica do URUGUAI;Ibicuí;;;;;;-29.23944;-56.42722;média;Sim;Sim;Sim;10.2;"7,5 m &lt; h &lt; 15 m";Sim;Pequena até 1 hm³;Sim;Não;Sim;Não;Não;Não;1;207.0;4310603;Itaqui;Fronteira Oeste;6;POINT (-56.42722000 -29.23944000)
86;Cadastro_SNISB_20230720.87;87;2318.0;870/07;;Irrigação;RS;BARRA DO QUARAÍ;Não Classificado;Alto;Sem Informação;Sem Informação;RS - Secretaria de Meio Ambiente e Infraestrutura - SEMA;45650500075;Sim;870/07;;Não;Não;;Não;5,95;5.95;7.349;0.0;Sem Informação;;824.0;Rio Quaraí;Região Hidrográfica do URUGUAI;Quaraí;;;;;;-30.19167;-57.20611;mínima;Sim;Sim;Sim;5.95;"h &lt; 7,5 m";Sim;Média;Sim;Não;Sim;Não;Não;Não;1;254.0;4301875;Barra do Quaraí;Fronteira Oeste;6;POINT (-57.20611000 -30.19167000)
90;Cadastro_SNISB_20230720.91;91;3035.0;1407/2014;;Aquicultura;RS;SÃO FRANCISCO DE PAULA;Não Classificado;Alto;Sem Informação;Sem Informação;RS - Secretaria de Meio Ambiente e Infraestrutura - SEMA;67110567138;Sim;1407/2014;;Não;Não;;Não;3,7;3.7;0.095;0.0;Sem Informação;;0.0;Arroio dos Moreiras;Região Hidrográfica ATLÂNTICO SUL;Taquari-Antas;;;;;;-29.08694;-50.73472;mínima;Sim;Sim;Sim;3.7;"h &lt; 7,5 m";Sim;Pequena até 1 hm³;Sim;Não;Sim;Não;Não;Não;1;292.0;4318200;São Francisco de Paula;Hortênsias;3;POINT (-50.73472000 -29.08694000)
91;Cadastro_SNISB_20230720.92;92;3040.0;944/2008;;Irrigação;RS;PASSO DO SOBRADO;Não Classificado;Alto;Sem Informação;Sem Informação;RS - Secretaria de Meio Ambiente e Infraestrutura - SEMA;;Sim;944/2008;;Não;Não;;Não;2,47;2.47;0.077;0.0;Sem Informação;;0.0;SEM NOME;Região Hidrográfica ATLÂNTICO SUL;Taquari-Antas;;;;;;-29.68889;-52.21194;mínima;Sim;Sim;Sim;2.47;"h &lt; 7,5 m";Sim;Pequena até 1 hm³;Sim;Não;Sim;Não;Não;Não;1;293.0;4314076;Passo do Sobrado;Vale do Rio Pardo;2;POINT (-52.21194000 -29.68889000)
92;Cadastro_SNISB_20230720.93;93;3042.0;957/2008;;Irrigação;RS;VENÂNCIO AIRES;Não Classificado;Alto;Sem Informação;Sem Informação;RS - Secretaria de Meio Ambiente e Infraestrutura - SEMA;;Sim;957/2008;;Não;Não;;Não;4,92;4.92;0.05;0.0;Sem Informação;;0.0;Rio Taquari-mirim;Região Hidrográfica ATLÂNTICO SUL;Taquari-Antas;;;;;;-29.70806;-52.12583;mínima;Sim;Sim;Sim;4.92;"h &lt; 7,5 m";Sim;Pequena até 1 hm³;Sim;Não;Sim;Não;Não;Não;1;294.0;4322608;Venâncio Aires;Vale do Rio Pardo;2;POINT (-52.12583000 -29.70806000)
100;Cadastro_SNISB_20230720.101;101;3057.0;1600/2008;;Irrigação;RS;CAMPESTRE DA SERRA;Não Classificado;Alto;Sem Informação;Sem Informação;RS - Secretaria de Meio Ambiente e Infraestrutura - SEMA;;Sim;1600/2008;;Não;Não;;Não;3,5;3.5;0.054;0.0;Sem Informação;;0.0;SEM NOME;Região Hidrográfica ATLÂNTICO SUL;Taquari-Antas;;;;;;-28.75361;-51.16528;mínima;Sim;Sim;Sim;3.5;"h &lt; 7,5 m";Sim;Pequena até 1 hm³;Sim;Não;Sim;Não;Não;Não;1;310.0;4303673;Campestre da Serra;Campos de Cima da Serra;3;POINT (-51.16528000 -28.75361000)
119;Cadastro_SNISB_20230720.120;120;5896.0;*68320567108;;Irrigação;RS;ROSÁRIO DO SUL;Não Classificado;Alto;Sem Informação;Sem Informação;RS - Secretaria de Meio Ambiente e Infraestrutura - SEMA;0821/11;Sim;0821/11;;Não;Não;;Não;;0.0;0.73;0.0;Terra;;82678.0;Arroio da Divisa;Região Hidrográfica do URUGUAI;Santa Maria;;;;;;-30.29444;-55.08333;mínima;Sim;Sim;Não;0.0;Sem Informação;Sim;Pequena até 1 hm³;Não;Não;Sim;Não;Não;Não;1;330.0;4316402;Rosário do Sul;Fronteira Oeste;6;POINT (-55.08333000 -30.29444000)
120;Cadastro_SNISB_20230720.121;121;5902.0;*102000000000;;Irrigação;RS;SANT'ANA DO LIVRAMENTO;Não Classificado;Alto;Sem Informação;Sem Informação;RS - Secretaria de Meio Ambiente e Infraestrutura - SEMA;0455/07;Sim;0455/07;;Não;Não;;Não;;0.0;0.823;0.0;Terra;;8268.0;Rio Upamaroti;Região Hidrográfica do URUGUAI;Santa Maria;;;;;;-31.26981;-55.07315;mínima;Sim;Sim;Não;0.0;Sem Informação;Sim;Pequena até 1 hm³;Não;Não;Sim;Não;Não;Não;1;331.0;4317103;Santana do Livramento;Fronteira Oeste;6;POINT (-55.07315000 -31.26981000)
121;Cadastro_SNISB_20230720.122;122;5907.0;*28330500074;;Irrigação;RS;SÃO FRANCISCO DE ASSIS;Não Classificado;Alto;Sem Informação;Sem Informação;RS - Secretaria de Meio Ambiente e Infraestrutura - SEMA;0310/2008;Sim;0310/2008;;Não;Não;;Não;;0.0;0.083;0.0;Terra;;8264.0;Rio Jaguari;Região Hidrográfica do URUGUAI;Ibicuí;;;;;;-29.63722;-55.06833;mínima;Sim;Sim;Não;0.0;Sem Informação;Sim;Pequena até 1 hm³;Não;Não;Sim;Não;Não;Não;1;332.0;4318101;São Francisco de Assis;Vale do Jaguarí;8;POINT (-55.06833000 -29.63722000)
130;Cadastro_SNISB_20230720.131;131;5507.0;*139000000000;;Irrigação;RS;URUGUAIANA;Não Classificado;Alto;Sem Informação;Sem Informação;RS - Secretaria de Meio Ambiente e Infraestrutura - SEMA;1734/2012;Sim;1734/2012;;Não;Não;;Não;;0.0;2.07;0.0;Terra;;82612542.0;SEM NOME;Região Hidrográfica do URUGUAI;Ibicuí;;;;;;-29.85694;-56.48639;mínima;Sim;Sim;Não;0.0;Sem Informação;Sim;Pequena entre 1 e 3 hm³;Não;Não;Sim;Não;Não;Não;1;341.0;4322400;Uruguaiana;Fronteira Oeste;6;POINT (-56.48639000 -29.85694000)
131;Cadastro_SNISB_20230720.132;132;5932.0;*116000000000;;Irrigação;RS;DOM PEDRITO;Não Classificado;Alto;Sem Informação;Sem Informação;RS - Secretaria de Meio Ambiente e Infraestrutura - SEMA;0135/07;Sim;0135/07;;Não;Não;;Não;;0.0;3.844;0.0;Terra;;826882.0;Arroio do Vacaiquá;Região Hidrográfica do URUGUAI;Santa Maria;;;;;;-31.01123;-55.00051;mínima;Sim;Sim;Não;0.0;Sem Informação;Sim;Pequena entre 3 e 5 hm³;Não;Não;Sim;Não;Não;Não;1;342.0;4306601;Dom Pedrito;Campanha;6;POINT (-55.00051000 -31.01123000)
142;Cadastro_SNISB_20230720.143;143;5966.0;*34500567101;;Irrigação;RS;ROSÁRIO DO SUL;Não Classificado;Alto;Sem Informação;Sem Informação;RS - Secretaria de Meio Ambiente e Infraestrutura - SEMA;0450/2015;Sim;0450/2015;;Não;Não;;Não;;0.0;0.3;0.0;Terra;;826.0;Rio Santa Maria;Região Hidrográfica do URUGUAI;Santa Maria;;;;;;-30.31634;-54.87357;mínima;Sim;Sim;Não;0.0;Sem Informação;Sim;Pequena até 1 hm³;Não;Não;Sim;Não;Não;Não;1;354.0;4316402;Rosário do Sul;Fronteira Oeste;6;POINT (-54.87357000 -30.31634000)
148;Cadastro_SNISB_20230720.149;149;5556.0;*90950567120;;Irrigação;RS;ALEGRETE;Não Classificado;Alto;Sem Informação;Sem Informação;RS - Secretaria de Meio Ambiente e Infraestrutura - SEMA;0680/2015;Sim;0680/2015;;Não;Não;;Não;;0.0;0.312;0.0;Terra;;82612.0;Arroio Ibirocaí;Região Hidrográfica do URUGUAI;Ibicuí;;;;;;-29.49444;-56.40139;mínima;Sim;Sim;Não;0.0;Sem Informação;Sim;Pequena até 1 hm³;Não;Não;Sim;Não;Não;Não;1;360.0;4300406;Alegrete;Fronteira Oeste;6;POINT (-56.40139000 -29.49444000)
149;Cadastro_SNISB_20230720.150;150;5996.0;*47080500052;;Irrigação;RS;DOM PEDRITO;Não Classificado;Alto;Sem Informação;Sem Informação;RS - Secretaria de Meio Ambiente e Infraestrutura - SEMA;0721/05;Sim;0721/05;;Não;Não;;Não;;0.0;1.511;0.0;Terra;;82698.0;Arroio Ponche Verde;Região Hidrográfica do URUGUAI;Santa Maria;;;;;;-31.15888;-54.78749;mínima;Sim;Sim;Não;0.0;Sem Informação;Sim;Pequena entre 1 e 3 hm³;Não;Não;Sim;Não;Não;Não;1;361.0;4306601;Dom Pedrito;Campanha;6;POINT (-54.78749000 -31.15888000)
155;Cadastro_SNISB_20230720.156;156;5587.0;*5570500070;;Irrigação;RS;ITAQUI;Não Classificado;Alto;Sem Informação;Sem Informação;RS - Secretaria de Meio Ambiente e Infraestrutura - SEMA;0420/2007;Sim;0420/2007;;Não;Não;;Não;;0.0;0.478;0.0;Terra;;826152.0;SEM NOME;Região Hidrográfica do URUGUAI;Ibicuí;;;;;;-29.25861;-56.32361;mínima;Sim;Sim;Não;0.0;Sem Informação;Sim;Pequena até 1 hm³;Não;Não;Sim;Não;Não;Não;1;373.0;4310603;Itaqui;Fronteira Oeste;6;POINT (-56.32361000 -29.25861000)
156;Cadastro_SNISB_20230720.157;157;5588.0;*50160500075;;Irrigação;RS;ITAQUI;Não Classificado;Alto;Sem Informação;Sem Informação;RS - Secretaria de Meio Ambiente e Infraestrutura - SEMA;0949/2007;Sim;0949/2007;;Não;Não;;Não;;0.0;1.312;0.0;Terra;;826152.0;SEM NOME;Região Hidrográfica do URUGUAI;Ibicuí;;;;;;-29.23806;-56.3225;mínima;Sim;Sim;Não;0.0;Sem Informação;Sim;Pequena entre 1 e 3 hm³;Não;Não;Sim;Não;Não;Não;1;374.0;4310603;Itaqui;Fronteira Oeste;6;POINT (-56.32250000 -29.23806000)
158;Cadastro_SNISB_20230720.159;159;6015.0;*48340567087;;Irrigação;RS;DOM PEDRITO;Não Classificado;Alto;Sem Informação;Sem Informação;RS - Secretaria de Meio Ambiente e Infraestrutura - SEMA;1228/08;Sim;1228/08;;Não;Não;;Não;;0.0;1.554;0.0;Terra;;826982.0;Arroio dos Porcos;Região Hidrográfica do URUGUAI;Santa Maria;;;;;;-31.22054;-54.74091;mínima;Sim;Sim;Não;0.0;Sem Informação;Sim;Pequena entre 1 e 3 hm³;Não;Não;Sim;Não;Não;Não;1;376.0;4306601;Dom Pedrito;Campanha;6;POINT (-54.74091000 -31.22054000)
159;Cadastro_SNISB_20230720.160;160;6017.0;*48340567087;;Irrigação;RS;DOM PEDRITO;Não Classificado;Alto;Sem Informação;Sem Informação;RS - Secretaria de Meio Ambiente e Infraestrutura - SEMA;1228/08;Sim;1228/08;;Não;Não;;Não;;0.0;0.542;0.0;Terra;;826984.0;Arroio do Lajeado;Região Hidrográfica do URUGUAI;Santa Maria;;;;;;-31.24001;-54.73667;mínima;Sim;Sim;Não;0.0;Sem Informação;Sim;Pequena até 1 hm³;Não;Não;Sim;Não;Não;Não;1;377.0;4306601;Dom Pedrito;Campanha;6;POINT (-54.73667000 -31.24001000)
167;Cadastro_SNISB_20230720.168;168;5610.0;*133000000000;;Irrigação;RS;ITAQUI;Não Classificado;Alto;Sem Informação;Sem Informação;RS - Secretaria de Meio Ambiente e Infraestrutura - SEMA;0658/2006;Sim;0658/2006;;Não;Não;;Não;;0.0;1.142;0.0;Terra;;827142.0;SEM NOME;Região Hidrográfica do URUGUAI;Butuí-Icamaquã;;;;;;-29.00722;-56.27333;mínima;Sim;Sim;Não;0.0;Sem Informação;Sim;Pequena entre 1 e 3 hm³;Não;Não;Sim;Não;Não;Não;1;387.0;4310603;Itaqui;Fronteira Oeste;6;POINT (-56.27333000 -29.00722000)
168;Cadastro_SNISB_20230720.169;169;6025.0;*8830567092;;Irrigação;RS;SÃO GABRIEL;Não Classificado;Alto;Sem Informação;Sem Informação;RS - Secretaria de Meio Ambiente e Infraestrutura - SEMA;1373/09;Sim;1373/09;;Não;Não;;Não;;0.0;0.617;0.0;Terra;;8269134.0;SEM NOME;Região Hidrográfica do URUGUAI;Santa Maria;;;;;;-30.33175;-54.71134;mínima;Sim;Sim;Não;0.0;Sem Informação;Sim;Pequena até 1 hm³;Não;Não;Sim;Não;Não;Não;1;388.0;4318309;São Gabriel;Fronteira Oeste;6;POINT (-54.71134000 -30.33175000)
169;Cadastro_SNISB_20230720.170;170;6030.0;*59090567080;;Irrigação;RS;DOM PEDRITO;Não Classificado;Alto;Sem Informação;Sem Informação;RS - Secretaria de Meio Ambiente e Infraestrutura - SEMA;0249/09;Sim;0249/09;;Não;Não;;Não;;0.0;0.36;0.0;Terra;;8269932.0;SEM NOME;Região Hidrográfica do URUGUAI;Santa Maria;;;;;;-31.19719;-54.6968;mínima;Sim;Sim;Não;0.0;Sem Informação;Sim;Pequena até 1 hm³;Não;Não;Sim;Não;Não;Não;1;389.0;4306601;Dom Pedrito;Campanha;6;POINT (-54.69680000 -31.19719000)
170;Cadastro_SNISB_20230720.171;171;6042.0;*161000000000;;Irrigação;RS;LAVRAS DO SUL;Não Classificado;Alto;Sem Informação;Sem Informação;RS - Secretaria de Meio Ambiente e Infraestrutura - SEMA;0056/12;Sim;0056/12;;Não;Não;;Não;;0.0;2.508;0.0;Terra;;82694.0;Arroio Taquarembó;Região Hidrográfica do URUGUAI;Santa Maria;;;;;;-30.76283;-54.64032;mínima;Sim;Sim;Não;0.0;Sem Informação;Sim;Pequena entre 1 e 3 hm³;Não;Não;Sim;Não;Não;Não;1;390.0;4311502;Lavras do Sul;Campanha;6;POINT (-54.64032000 -30.76283000)
175;Cadastro_SNISB_20230720.176;176;5629.0;*126000000000;;Irrigação;RS;ITAQUI;Não Classificado;Alto;Sem Informação;Sem Informação;RS - Secretaria de Meio Ambiente e Infraestrutura - SEMA;0937/2013;Sim;0937/2013;;Não;Não;;Não;;0.0;0.6;0.0;Terra;;827134.0;SEM NOME;Região Hidrográfica do URUGUAI;Ibicuí;;;;;;-29.15306;-56.21111;mínima;Sim;Sim;Não;0.0;Sem Informação;Sim;Pequena até 1 hm³;Não;Não;Sim;Não;Não;Não;1;395.0;4310603;Itaqui;Fronteira Oeste;6;POINT (-56.21111000 -29.15306000)
