objectid;cod_ibge;cod_ses;cod_regiao_uf;macrorregiao_saude;regiao_saude;nome_regiao_saude;crs;municipio;cod_cnes;nome_da_unidade;telefone;nome_razao_social;cod_tipo_un;ds_tipo_un;ds_natureza;tp_gestao;latitude;longitude;equipamento;pics;rbc;raps;complemento;cep;endereco;status;tp_rede_raps
134;4300505;430050;471;Norte;15;REGIÃO 15 - CAMINHO DAS ÁGUAS;02ª CRS;Alpestre;7744323;POSTO DE SAUDE DE ALPESTRE ESF II ALPESTRE;;PREFEITURA MUNICIPAL DE ALPESTRE;2;CENTRO DE SAUDE/UNIDADE BASICA;ADMINISTRAÇÃO PÚBLICA;MUNICIPAL;-27.25227387;-53.03618768;UBS;1;0;Sem dispositivo específico de saúde mental;;98480-000;RUA DR ALVARO LEITAO, S/N - CENTRO;ATIVO;Atenção Básica
135;4318705;431870;463;Metropolitana;7;REGIÃO 07 - VALE DOS SINOS;01ª CRS;São Leopoldo;2231948;UNIDADE BASICA DE SAUDE MATERNO INFANTIL;;PREFEITURA MUNICIPAL DE SAO LEOPOLDO;2;CENTRO DE SAUDE/UNIDADE BASICA;ADMINISTRAÇÃO PÚBLICA;MUNICIPAL;-29.7670328;-51.1437016;UBS;0;0;Sem dispositivo específico de saúde mental;;93010-190;RUA SAO JOAQUIM, 988 - CENTRO;ATIVO;Atenção Básica
136;4321451;432145;486;Vales;30;REGIÃO 30 - VALE DA LUZ;16ª CRS;Teutônia;3431576;POSTO DE SAUDE ALESGUT;;PREFEITURA MUNICIPAL DE TEUTONIA;1;POSTO DE SAUDE;ADMINISTRAÇÃO PÚBLICA;MUNICIPAL;-29.4669397;-51.8211258;UBS;0;0;Sem dispositivo específico de saúde mental;;95890-000;RUA 31 DE AGOSTO, 227 - ALESGUT;ATIVO;Atenção Básica
138;4308201;430820;482;Serra;26;REGIÃO 26 - UVA VALE;05ª CRS;Flores da Cunha;2238322;POSTO DE SAUDE MATO PERSO;;PREFEITURA MINICPAL DE FLORES DA CUNHA;1;POSTO DE SAUDE;ADMINISTRAÇÃO PÚBLICA;MUNICIPAL;-29.097;-51.332379;UBS;0;0;Sem dispositivo específico de saúde mental;;95270-000;LOCALIDADE MATO PERSO, S/N - TRAVESSAO HORTENCIA;ATIVO;Atenção Básica
139;4322806;432280;481;Serra;25;REGIÃO 25 - VINHEDOS E BASALTO;05ª CRS;Veranópolis;9098119;UBS UNIVERSAL;;PREFEITURA MUNICIPAL DE VERANOPOLIS;2;CENTRO DE SAUDE/UNIDADE BASICA;ADMINISTRAÇÃO PÚBLICA;MUNICIPAL;-28.9230821;-51.5505123;UBS;1;0;Sem dispositivo específico de saúde mental;;95330-000;RUA HERIBERTO PEDRO LEDUR, 55 - UNIVERSAL;ATIVO;Atenção Básica
140;4306767;430676;465;Metropolitana;9;REGIÃO 09 - CARBONÍFERA/COSTA DOCE;01ª CRS;Eldorado do Sul;7933495;ESF CENTRO NOVO;;PREFEITURA MUNICIPAL DE ELDORADO DO SUL;2;CENTRO DE SAUDE/UNIDADE BASICA;ADMINISTRAÇÃO PÚBLICA;MUNICIPAL;-29.996336;-51.3238405;UBS;0;0;Sem dispositivo específico de saúde mental;;92990-000;RUA VACARIA, 405 - CENTRO NOVO;ATIVO;Atenção Básica
141;4316907;431690;457;Centro-Oeste;1;REGIÃO 01 - VERDES CAMPOS;04ª CRS;Santa Maria;2242516;UNIDADE DE SAUDE RUBEN NOAL EAP;;PREFEITURA MUNICIPAL DE SANTA MARIA;2;CENTRO DE SAUDE/UNIDADE BASICA;ADMINISTRAÇÃO PÚBLICA;MUNICIPAL;-29.7015957;-53.8748125;UBS;0;0;Sem dispositivo específico de saúde mental;;97032-000;AV PAULO LAUDA, 775 - TANCREDO NEVES;ATIVO;Atenção Básica
143;4323457;432345;457;Centro-Oeste;1;REGIÃO 01 - VERDES CAMPOS;04ª CRS;Vila Nova do Sul;2241544;UNIDADE DE SAUDE DA FAMILIA SOFIA SALDANHA SILVEIRA USF;;PREFEITURA MUNICIPAL DE VILA NOVA DO SUL;2;CENTRO DE SAUDE/UNIDADE BASICA;ADMINISTRAÇÃO PÚBLICA;MUNICIPAL;-30.3390188;-53.8802993;UBS;1;1;OT;;97385-000;AVENIDA SINCERO LEMES, 825 - CENTRO;ATIVO;Atenção Básica
144;4305108;430510;479;Serra;23;REGIÃO 23 - CAXIAS E HORTÊNSIAS;05ª CRS;Caxias do Sul;6889190;UBS SERRANO;;PREFEITURA MUNICIPAL DE CAXIAS DO SUL;2;CENTRO DE SAUDE/UNIDADE BASICA;ADMINISTRAÇÃO PÚBLICA;MUNICIPAL;-29.1152752;-51.1312669;UBS;0;0;Sem dispositivo específico de saúde mental;;95059-710;RUA ALCIDES RAMOS, 1307 - SERRANO;ATIVO;Atenção Básica
145;4317202;431720;470;Missioneira;14;REGIÃO 14 - FRONTEIRA NOROESTE;14ª CRS;Santa Rosa;6969844;NASF II SANTA ROSA;;FUNDACAO MUNICIPAL DE SAUDE DE SANTA ROSA;2;CENTRO DE SAUDE/UNIDADE BASICA;ADMINISTRAÇÃO PÚBLICA;MUNICIPAL;-27.8677598;-54.4315208;UBS;0;0;Sem dispositivo específico de saúde mental;;98789-188;AVENIDA FLORES DA CUNHA, 1321 - CRUZEIRO;ATIVO;Atenção Básica
146;4302105;430210;481;Serra;25;REGIÃO 25 - VINHEDOS E BASALTO;05ª CRS;Bento Gonçalves;5005868;UNIDADE DE SAUDE SANTA HELENA BENTO GONÇALVES;;MUNICIPIO DE BENTO GONCALVES;2;CENTRO DE SAUDE/UNIDADE BASICA;ADMINISTRAÇÃO PÚBLICA;MUNICIPAL;-29.1845757;-51.4937863;UBS;1;0;Sem dispositivo específico de saúde mental;;95702-540;RUA PEDRO KOFF, 634 - SANTA HELENA;ATIVO;Atenção Básica
148;4314902;431490;466;Metropolitana;10;REGIÃO 10 - CAPITAL E VALE DO GRAVATAÍ;01ª CRS;Porto Alegre;2265214;UNIDADE DE SAUDE PASSO DAS PEDRAS I;;PREFEITURA MUNICIPAL DE PORTO ALEGRE;2;CENTRO DE SAUDE/UNIDADE BASICA;ADMINISTRAÇÃO PÚBLICA;MUNICIPAL;-30.01687772;-51.12663253;UBS;1;0;Sem dispositivo específico de saúde mental;;91230-060;RUA GOMES DE CARVALHO, 510 - PASSO DAS PEDRAS;ATIVO;Atenção Básica
150;4320800;432080;475;Norte;19;REGIÃO 19 - BOTUCARAÍ;06ª CRS;Soledade;2246627;ESF SAO BOM JESUS;;AMBULATORIO MUNICIPAL SAO BOM JESUS;2;CENTRO DE SAUDE/UNIDADE BASICA;ADMINISTRAÇÃO PÚBLICA;MUNICIPAL;-28.8149885;-52.4941922;UBS;1;0;Sem dispositivo específico de saúde mental;;99300-000;RUA FAO, 1 - BOTUCARAI;ATIVO;Atenção Básica
151;4314803;431480;463;Metropolitana;7;REGIÃO 07 - VALE DOS SINOS;01ª CRS;Portão;4066243;POSTO ALBINO KERN PORTAO ESF1;;PREFEITURA MUNICIPAL DE PORTAO;1;POSTO DE SAUDE;ADMINISTRAÇÃO PÚBLICA;MUNICIPAL;-29.7112631;-51.2261491;UBS;0;0;Sem dispositivo específico de saúde mental;;93180-000;RUA NILO PEREIRA MARTINS, 90 - ALBINO KERN;ATIVO;Atenção Básica
152;4305355;430535;465;Metropolitana;9;REGIÃO 09 - CARBONÍFERA/COSTA DOCE;01ª CRS;Charqueadas;2225018;UNIDADE DE SAUDE DA FAMILIA CRUZ DE MALTA;;MUNICIPIO DE CHARQUEADAS;1;POSTO DE SAUDE;ADMINISTRAÇÃO PÚBLICA;MUNICIPAL;-29.9637157;-51.63436719;UBS;0;0;Sem dispositivo específico de saúde mental;;96745-000;RUA RIO GRANDE DO NORTE, 620 - CENTRO;ATIVO;Atenção Básica
154;4313409;431340;463;Metropolitana;7;REGIÃO 07 - VALE DOS SINOS;01ª CRS;Novo Hamburgo;2700492;UNIDADE SAUDE DA FAMILIA RONDONIA NH;;PREFEITURA MUNICIPAL DE NOVO HAMBURGO;1;POSTO DE SAUDE;ADMINISTRAÇÃO PÚBLICA;MUNICIPAL;-29.70713;-51.1119327;UBS;1;0;Sem dispositivo específico de saúde mental;;93415-390;RUA BAHIA, 450 - RONDONIA;ATIVO;Atenção Básica
156;4322608;432260;484;Vales;28;REGIÃO 28 - VINTE E OITO;13ª CRS;Venâncio Aires;9670661;UBS VILA ARLINDO;;PREFEITURA MUNICIPAL DE VENANCIO AIRES;1;POSTO DE SAUDE;ADMINISTRAÇÃO PÚBLICA;MUNICIPAL;-29.63627253;-52.16325136;UBS;0;0;Sem dispositivo específico de saúde mental;;95800-000;VILA ARLINDO, S/N - VILA ARLINDO;ATIVO;Atenção Básica
160;4315503;431550;457;Centro-Oeste;1;REGIÃO 01 - VERDES CAMPOS;04ª CRS;Restinga Seca;473243;ESTRATEGIA SAUDE DA FAMILIA BELA VISTA DR ORLANDO OTTO PAUL;;MUNICIPIO DE RESTINGA SECA;2;CENTRO DE SAUDE/UNIDADE BASICA;ADMINISTRAÇÃO PÚBLICA;MUNICIPAL;-29.82604215;-53.36742711;UBS;0;0;Sem dispositivo específico de saúde mental;;97200-000;RUA ADAO MARIO DE OLIVEIRA DORNELLES, 1980 - LOTEAMENTO BELA VIST;ATIVO;Atenção Básica
162;4314423;431442;479;Serra;23;REGIÃO 23 - CAXIAS E HORTÊNSIAS;05ª CRS;Picada Café;9075461;UNIDADE BASICA DE SAUDE DE JOANETA;;PREFEITURA MUNICIPAL DE PICADA CAFE;2;CENTRO DE SAUDE/UNIDADE BASICA;ADMINISTRAÇÃO PÚBLICA;MUNICIPAL;-29.45004066;-51.09848557;UBS;0;0;Sem dispositivo específico de saúde mental;;95166-000;RUA ARTHUR STAUDT, 260 - JOANETA;ATIVO;Atenção Básica
163;4314605;431460;477;Sul;21;REGIÃO 21 - SUL;03ª CRS;Piratini;2232421;UBS VEREADOR MAURO CASTRO;;PREFEITURA MUNICIPAL DE PIRATINI;1;POSTO DE SAUDE;ADMINISTRAÇÃO PÚBLICA;MUNICIPAL;-31.02687557;-53.04032408;UBS;0;0;Sem dispositivo específico de saúde mental;;96490-000;3 SUBDISTRITO, S/N - 3 SUBDISTRITO;ATIVO;Atenção Básica
164;4312500;431250;461;Metropolitana;5;REGIÃO 05 - BONS VENTOS;18ª CRS;Mostardas;2223724;POSTO DE SAUDE TEIXEIRAS;;PERFEITURA MUNICIPAL DE MOSTARDAS;1;POSTO DE SAUDE;ADMINISTRAÇÃO PÚBLICA;MUNICIPAL;-31.01027871;-50.88749367;UBS;0;0;Sem dispositivo específico de saúde mental;;96285-000;TEIXEIRAS NO 3 DISTRITO, S/N - ZONA RURAL;ATIVO;Atenção Básica
165;4306908;430690;483;Vales;27;REGIÃO 27 - JACUÍ CENTRO;08ª CRS;Encruzilhada do Sul;2233738;ESF LAVA PES;;PREFEITURA MUNICIPAL DE ENCRUZILHADA DO SUL;2;CENTRO DE SAUDE/UNIDADE BASICA;ADMINISTRAÇÃO PÚBLICA;MUNICIPAL;-30.54180407;-52.52185794;UBS;1;0;Sem dispositivo específico de saúde mental;;96610-000;AVENIDA RIO BRANCO, 312 - CENTRO;ATIVO;Atenção Básica
166;4311809;431180;473;Norte;17;REGIÃO 17 - PLANALTO;06ª CRS;Marau;2245108;POSTO DE SAUDE AMBULATORIO CENTRAL MARAU;;PREFEITURA MUNICIPAL DE MARAU;2;CENTRO DE SAUDE/UNIDADE BASICA;ADMINISTRAÇÃO PÚBLICA;MUNICIPAL;-28.4565514;-52.1972378;UBS;0;0;Sem dispositivo específico de saúde mental;;99150-000;AV PRESIDENTE VARGAS, 1676 - CENTRO;ATIVO;Atenção Básica
168;4310603;431060;459;Centro-Oeste;3;REGIÃO 03 - FRONTEIRA OESTE;10ª CRS;Itaqui;5026865;PSF DO BAIRRO VILA NOVA ITAQUI;;PREFEITURA MUNICIPAL DE ITAQUI;2;CENTRO DE SAUDE/UNIDADE BASICA;ADMINISTRAÇÃO PÚBLICA;MUNICIPAL;-29.148;-56.561275;UBS;0;0;OT;;97650-000;RUA THOMAZ SANCHOTENE, 49 - BAIRRO VILA NOVA;ATIVO;Atenção Básica
169;4320107;432010;476;Norte;20;REGIÃO 20 - ROTA DA PRODUÇÃO;15ª CRS;Sarandi;2234505;CAMS CENTRO DE ATENDIMENTO MUNICIPAL DE SAUDE SARANDI;;PREFEITURA MUNICIPAL DE SARANDI;2;CENTRO DE SAUDE/UNIDADE BASICA;ADMINISTRAÇÃO PÚBLICA;DUPLA;-27.94505543;-52.91796341;UBS;0;0;Sem dispositivo específico de saúde mental;;99560-000;RUA JOAOTESSER, S/N - CENTRO;ATIVO;Atenção Básica
170;4315602;431560;477;Sul;21;REGIÃO 21 - SUL;03ª CRS;Rio Grande;2818485;POSTO DE SAUDE CENTRO SOCIAL URBANO HIDRAULICA;;PREFEITURA MUNICIPAL DO RIO GRANDE SMS;1;POSTO DE SAUDE;ADMINISTRAÇÃO PÚBLICA;MUNICIPAL;-32.05038835;-52.12429648;UBS;0;0;Sem dispositivo específico de saúde mental;;96201-220;RUA ALTAMIR DE LACERDA, 1 - HIDRAULICA;ATIVO;Atenção Básica
173;4323408;432340;473;Norte;17;REGIÃO 17 - PLANALTO;06ª CRS;Vila Maria;2244861;POSTO DE SAUDE VILA MARIA;;PREFEITURA MUNICIPAL DE VILA MARIA;1;POSTO DE SAUDE;ADMINISTRAÇÃO PÚBLICA;MUNICIPAL;-28.53230874;-52.15251725;UBS;0;1;Sem dispositivo específico de saúde mental;;99155-000;RUA GENERAL FLORES DA CUNHA, S/N - CENTRO;ATIVO;Atenção Básica
176;4318499;431849;470;Missioneira;14;REGIÃO 14 - FRONTEIRA NOROESTE;14ª CRS;São José do Inhacorá;2249715;UNIDADE SANITARIA SEDE PSF SJI;;PREFEITURA MUNICIPAL DE SAO JOSE DO INHACORA;2;CENTRO DE SAUDE/UNIDADE BASICA;ADMINISTRAÇÃO PÚBLICA;MUNICIPAL;-27.72657746;-54.13003189;UBS;1;1;Sem dispositivo específico de saúde mental;;98958-000;RUA LEOPOLDO ROCKENBACH, 154 - CENTRO;ATIVO;Atenção Básica
177;4312906;431290;481;Serra;25;REGIÃO 25 - VINHEDOS E BASALTO;05ª CRS;Nova Bassano;7021305;UNIDADE BASICA ESF CRISTO REDENTOR;;PREFEITURA MUNICIPAL DE NOVA BASSANO;2;CENTRO DE SAUDE/UNIDADE BASICA;ADMINISTRAÇÃO PÚBLICA;MUNICIPAL;-28.742702;-51.688475;UBS;1;1;Sem dispositivo específico de saúde mental;;98300-000;BRASILICIO TAPIA, S/N - WESTPHALEN;ATIVO;Atenção Básica
178;4318903;431890;467;Missioneira;11;REGIÃO 11 - SETE POVOS DAS MISSÕES;12ª CRS;São Luiz Gonzaga;2258757;PS SAO LOURENCO;;PREFEITURA MUNICIPAL DE SAO LUIZ GONZAGA;1;POSTO DE SAUDE;ADMINISTRAÇÃO PÚBLICA;MUNICIPAL;-28.307305;-54.88411;UBS;0;0;Sem dispositivo específico de saúde mental;;97800-000;SANTA INEZ, S/N - INTERIOR;ATIVO;Atenção Básica
179;4301651;430165;464;Metropolitana;8;REGIÃO 08 - VALE DO CAÍ E METROPOLITANA;01ª CRS;Barão;9006486;UNIDADE BASICA DE SAUDE DE BARAO;;PREFEITURA MUNICIPAL DE BARAO;2;CENTRO DE SAUDE/UNIDADE BASICA;ADMINISTRAÇÃO PÚBLICA;MUNICIPAL;-29.3756496;-51.5004741;UBS;0;0;Sem dispositivo específico de saúde mental;;95730-000;RUA ESTEVAO COSTA, 58 - CENTRO;ATIVO;Atenção Básica
181;4312617;431261;480;Serra;24;REGIÃO 24 - CAMPOS DE CIMA DA SERRA;05ª CRS;Muitos Capões;2238209;POSTO DE SAUDE CAPAO GRANDE;;PREFEITURA MUNICIPAL DE MUITOS CAPOES;2;CENTRO DE SAUDE/UNIDADE BASICA;ADMINISTRAÇÃO PÚBLICA;MUNICIPAL;-28.44865985;-51.19325179;UBS;0;0;Sem dispositivo específico de saúde mental;;95230-000;ESTRADA DO ESPETO, S/N - 2 DISTRITO;ATIVO;Atenção Básica
182;4311205;431120;457;Centro-Oeste;1;REGIÃO 01 - VERDES CAMPOS;04ª CRS;Júlio de Castilhos;3225194;AMBULATORIO INDEPENDENCIA ESF;;MUNICIPIO DE JULIO DE CASTILHOS;2;CENTRO DE SAUDE/UNIDADE BASICA;ADMINISTRAÇÃO PÚBLICA;MUNICIPAL;-29.236;-53.686723;UBS;0;0;Sem dispositivo específico de saúde mental;;98130-000;AVN ANGELO DIDONET, 520 - INDEPENDENCIA;ATIVO;Atenção Básica
184;4313409;431340;463;Metropolitana;7;REGIÃO 07 - VALE DOS SINOS;01ª CRS;Novo Hamburgo;2700506;UNIDADE SAUDE DA FAMILIA ROSELANDIA NH;;PREFEITURA MUNICIPAL DE NOVO HAMBURGO;1;POSTO DE SAUDE;ADMINISTRAÇÃO PÚBLICA;MUNICIPAL;-29.64821751;-51.13946046;UBS;1;0;Sem dispositivo específico de saúde mental;;93351-100;RUA BENJAMIN ALTMAYER, 455 - ROSELANDIA;ATIVO;Atenção Básica
185;4312401;431240;464;Metropolitana;8;REGIÃO 08 - VALE DO CAÍ E METROPOLITANA;01ª CRS;Montenegro;3754197;USF 1 GERMANO HENKE;;PREFEITURA MUNICIPAL DE MONTENEGRO;2;CENTRO DE SAUDE/UNIDADE BASICA;ADMINISTRAÇÃO PÚBLICA;MUNICIPAL;-29.72083404;-51.49322066;UBS;0;0;Sem dispositivo específico de saúde mental;;95780-000;ESTRADA MONTENEGRO POLO, 3952 - GERMANO HENKE;ATIVO;Atenção Básica
186;4305355;430535;465;Metropolitana;9;REGIÃO 09 - CARBONÍFERA/COSTA DOCE;01ª CRS;Charqueadas;7320795;UNIDADE DE SAUDE DA FAMILIA SAO FRANCISCO;;MUNICIPIO DE CHARQUEADAS;1;POSTO DE SAUDE;ADMINISTRAÇÃO PÚBLICA;MUNICIPAL;-29.9568567;-51.6348428;UBS;1;0;Sem dispositivo específico de saúde mental;;96745-000;AVENIDA BENTO GONCALVES, 1699 - CENTRO;ATIVO;Atenção Básica
188;4305124;430512;477;Sul;21;REGIÃO 21 - SUL;03ª CRS;Cerrito;2232332;POSTO DE SAUDE DO ALTO ALEGRE CERRITO;;PREFEITURA MUNICIPAL DO CERRITO;1;POSTO DE SAUDE;ADMINISTRAÇÃO PÚBLICA;MUNICIPAL;-31.72971182;-52.82792212;UBS;0;1;Sem dispositivo específico de saúde mental;;96395-000;ALTO ALEGRE, S/N - CENTRO;ATIVO;Atenção Básica
189;4302808;430280;483;Vales;27;REGIÃO 27 - JACUÍ CENTRO;08ª CRS;Caçapava do Sul;2233592;PSF 4 JARDIM DO EDEM;;PREFEITURA MUNICIPAL DE CACAPAVA DO SUL;2;CENTRO DE SAUDE/UNIDADE BASICA;ADMINISTRAÇÃO PÚBLICA;MUNICIPAL;-30.5322193;-53.4718298;UBS;1;0;Sem dispositivo específico de saúde mental;;96570-000;RUA ARTIDOR ARAUJO, 155 - VILA HENRIQUES;ATIVO;Atenção Básica
190;4300471;430047;473;Norte;17;REGIÃO 17 - PLANALTO;06ª CRS;Almirante Tamandaré do Sul;2265478;SUBPOSTO DE SAUDE DO RINCAO DO SEGREDO;;PREFEITURA MUNICIPAL DE ALMIRANTE TAMANDARE DO SUL;1;POSTO DE SAUDE;ADMINISTRAÇÃO PÚBLICA;MUNICIPAL;-28.11616436;-52.85192991;UBS;0;0;Sem dispositivo específico de saúde mental;;99523-000;RUA CARLOS MOSMANN RINCAO DO SEGREDO, 1 - CENTRO;ATIVO;Atenção Básica
193;4302105;430210;481;Serra;25;REGIÃO 25 - VINHEDOS E BASALTO;05ª CRS;Bento Gonçalves;3017672;UNIDADE DE SAUDE BARRACAO BENTO GONÇALVES;;MUNICIPIO DE BENTO GONCALVES;2;CENTRO DE SAUDE/UNIDADE BASICA;ADMINISTRAÇÃO PÚBLICA;MUNICIPAL;-29.16458932;-51.47910979;UBS;1;0;Sem dispositivo específico de saúde mental;;95703-640;ESTRADA DO BARRACAO, S/N - BARRACAO;ATIVO;Atenção Básica
194;4302105;430210;481;Serra;25;REGIÃO 25 - VINHEDOS E BASALTO;05ª CRS;Bento Gonçalves;2236613;UNIDADE DE SAUDE VILA NOVA BENTO GONÇALVES;;MUNICIPIO DE BENTO GONCALVES;2;CENTRO DE SAUDE/UNIDADE BASICA;ADMINISTRAÇÃO PÚBLICA;MUNICIPAL;-29.1568512;-51.4931062;UBS;0;0;Sem dispositivo específico de saúde mental;;95706-174;RUA ARLINDO AUGUSTO MENEGOTO, 664 - VILA NOVA;ATIVO;Atenção Básica
195;4312054;431205;485;Vales;29;REGIÃO 29 - VALES E MONTANHAS;16ª CRS;Marques de Souza;2250861;UNIDADE SANITARIA DR JUCA SEDE;;PREFEITURA MUNICIPAL DE MARQUES DE SOUZA;2;CENTRO DE SAUDE/UNIDADE BASICA;ADMINISTRAÇÃO PÚBLICA;MUNICIPAL;-29.327;-52.09444;UBS;0;1;Sem dispositivo específico de saúde mental;;95923-000;RUA FORQUETA, 744 - CENTRO;ATIVO;Atenção Básica
196;4311205;431120;457;Centro-Oeste;1;REGIÃO 01 - VERDES CAMPOS;04ª CRS;Júlio de Castilhos;2244047;AMBULATORIO VAL DE SERRA;;MUNICIPIO DE JULIO DE CASTILHOS;2;CENTRO DE SAUDE/UNIDADE BASICA;ADMINISTRAÇÃO PÚBLICA;MUNICIPAL;-29.48794489;-53.68621285;UBS;0;0;Sem dispositivo específico de saúde mental;;98130-000;RUA PE ANCHIETA, 67 - VAL DE SERRA;ATIVO;Atenção Básica
197;4317509;431750;467;Missioneira;11;REGIÃO 11 - SETE POVOS DAS MISSÕES;12ª CRS;Santo Ângelo;302759;ESF 21 BAIRRO UNIAO 2;;PREFEITURA MUNICIPAL DE SANTO ANGELO;2;CENTRO DE SAUDE/UNIDADE BASICA;ADMINISTRAÇÃO PÚBLICA;MUNICIPAL;-28.31281673;-54.27400145;UBS;0;0;Sem dispositivo específico de saúde mental;;98804-424;AVENIDA RIO GRANDE DO SUL, 1530 - UNIAO;ATIVO;Atenção Básica
